"Subject","Block","Trial","Load","accMW","MW"
121,1,2,0,1,2
121,1,4,1,1,2
121,1,5,1,1,1
121,1,7,1,1,4
121,1,10,0,1,4
121,1,11,1,1,1
121,1,13,0,1,1
121,1,15,0,1,1
121,1,19,1,1,4
121,1,21,0,1,3
121,1,23,0,1,3
121,1,26,0,1,3
121,1,29,0,1,2
121,1,31,1,1,3
121,1,34,0,1,2
121,2,38,1,1,1
121,2,40,0,1,1
121,2,42,0,1,1
121,2,44,0,1,1
121,2,46,0,1,2
121,2,48,1,1,1
121,2,50,1,1,3
121,2,53,1,0,4
121,2,54,0,1,1
121,2,55,1,1,3
121,2,57,1,1,3
121,2,59,0,1,4
121,2,60,1,1,2
121,2,62,1,1,2
121,2,63,0,1,2
121,2,66,1,1,3
121,2,67,1,1,2
121,3,71,1,1,3
121,3,73,1,1,5
121,3,75,1,1,3
121,3,77,0,1,2
121,3,80,0,1,2
121,3,82,0,1,3
121,3,85,1,1,5
121,3,87,1,1,2
121,3,89,0,1,2
121,3,92,1,1,2
121,3,94,0,1,4
121,3,97,0,0,3
121,3,99,1,1,3
121,3,100,0,1,2
121,3,102,1,0,3
122,1,2,0,1,1
122,1,4,1,1,2
122,1,5,1,1,2
122,1,7,1,1,3
122,1,10,0,1,2
122,1,11,1,1,2
122,1,13,0,1,1
122,1,15,0,1,1
122,1,19,1,1,3
122,1,21,0,1,3
122,1,23,0,1,2
122,1,26,0,1,3
122,1,29,0,1,3
122,1,31,1,1,2
122,1,34,0,0,3
122,2,38,1,1,2
122,2,40,0,1,4
122,2,42,0,1,4
122,2,44,0,1,2
122,2,46,0,1,3
122,2,48,1,0,3
122,2,50,1,1,3
122,2,53,1,1,4
122,2,54,0,1,4
122,2,55,1,1,2
122,2,57,1,1,5
122,2,59,0,1,3
122,2,60,1,1,3
122,2,62,1,1,3
122,2,63,0,1,3
122,2,66,1,0,3
122,2,67,1,1,2
122,3,71,1,1,2
122,3,73,1,1,3
122,3,75,1,1,3
122,3,77,0,1,2
122,3,80,0,1,2
122,3,82,0,1,2
122,3,85,1,1,3
122,3,87,1,1,3
122,3,89,0,1,2
122,3,92,1,1,2
122,3,94,0,1,4
122,3,97,0,1,4
122,3,99,1,1,4
122,3,100,0,1,4
122,3,102,1,0,6
123,1,2,0,1,3
123,1,4,1,1,3
123,1,5,1,1,4
123,1,7,1,1,3
123,1,10,0,1,2
123,1,11,1,1,3
123,1,13,0,1,4
123,1,15,0,1,4
123,1,19,1,1,3
123,1,21,0,1,3
123,1,23,0,1,3
123,1,26,0,1,4
123,1,29,0,1,4
123,1,31,1,1,4
123,1,34,0,1,3
123,2,38,1,1,3
123,2,40,0,1,3
123,2,42,0,1,3
123,2,44,0,1,2
123,2,46,0,1,3
123,2,48,1,1,4
123,2,50,1,1,3
123,2,53,1,0,3
123,2,54,0,1,1
123,2,55,1,1,3
123,2,57,1,1,1
123,2,59,0,1,1
123,2,60,1,1,1
123,2,62,1,1,1
123,2,63,0,1,2
123,2,66,1,1,3
123,2,67,1,0,4
123,3,71,1,1,3
123,3,73,1,1,1
123,3,75,1,1,1
123,3,77,0,1,1
123,3,80,0,1,1
123,3,82,0,1,1
123,3,85,1,1,1
123,3,87,1,1,1
123,3,89,0,1,3
123,3,92,1,0,3
123,3,94,0,1,1
123,3,97,0,1,1
