participant, trial, stimulus, response, rt
10, 1, O, f, 0.505
10, 2, O, f, 0.387
10, 3, O, f, 0.39
10, 4, O, f, 0.383
10, 5, O, f, 0.384
10, 6, O, f, 0.383
10, 7, O, f, 0.387
10, 8, O, f, 0.382
10, 9, O, f, 0.384
10, 10, O, f, 0.385
10, 11, O, f, 0.383
10, 12, O, f, 0.386
10, 13, Q, NIL, NIL
10, 14, O, f, 0.385
10, 15, O, f, 0.386
10, 16, O, f, 0.388
10, 17, O, f, 0.385
10, 18, O, f, 0.385
10, 19, O, f, 0.386
10, 20, O, f, 0.387
10, 21, O, f, 0.387
10, 22, Q, NIL, NIL
10, 23, O, f, 0.383
10, 24, O, f, 0.385
10, 25, O, f, 0.386
10, 26, O, f, 0.386
10, 27, O, f, 0.382
10, 28, Q, NIL, NIL
10, 29, O, f, 0.384
10, 30, O, f, 0.388
10, 31, O, f, 0.385
10, 32, O, f, 0.385
10, 33, O, f, 0.383
10, 34, O, f, 0.385
10, 35, O, f, 0.386
10, 36, O, f, 0.388
10, 37, O, f, 0.384
10, 38, Q, NIL, NIL
10, 39, O, f, 0.385
10, 40, O, f, 0.386
10, 41, O, f, 0.386
10, 42, O, f, 0.384
10, 43, O, f, 0.386
10, 44, O, f, 0.386
10, 45, O, f, 0.384
10, 46, O, f, 0.388
10, 47, O, f, 0.383
10, 48, O, f, 0.384
10, 49, O, f, 0.385
10, 50, O, f, 0.385
10, 51, O, f, 0.387
10, 52, O, f, 0.384
10, 53, O, f, 0.384
10, 54, O, f, 0.385
10, 55, O, f, 0.384
10, 56, O, f, 0.383
10, 57, O, f, 0.385
10, 58, O, f, 0.385
10, 59, Q, NIL, NIL
10, 60, O, f, 0.385
10, 61, O, f, 0.382
10, 62, Q, NIL, NIL
10, 63, O, f, 0.382
10, 64, O, f, 0.389
10, 65, O, f, 0.387
10, 66, O, f, 0.385
10, 67, O, f, 0.384
10, 68, O, f, 0.387
10, 69, O, f, 0.386
10, 70, O, f, 0.387
10, 71, O, f, 0.386
10, 72, O, f, 0.387
10, 73, O, f, 0.384
10, 74, O, f, 0.385
10, 75, O, f, 0.387
10, 76, O, f, 0.387
10, 77, O, f, 0.387
10, 78, O, f, 0.39
10, 79, O, f, 0.388
10, 80, O, f, 0.385
10, 81, O, f, 0.384
10, 82, O, f, 0.386
10, 83, O, f, 0.386
10, 84, O, f, 0.384
10, 85, O, f, 0.384
10, 86, O, f, 0.384
10, 87, O, f, 0.385
10, 88, Q, NIL, NIL
10, 89, O, f, 0.385
10, 90, Q, NIL, NIL
10, 91, O, f, 0.384
10, 92, O, f, 0.384
10, 93, O, f, 0.385
10, 94, O, f, 0.386
10, 95, O, f, 0.388
10, 96, O, f, 0.383
10, 97, O, f, 0.385
10, 98, O, f, 0.385
10, 99, Q, NIL, NIL
10, 100, O, f, 0.384
10, 101, O, f, 0.391
10, 102, O, f, 0.386
10, 103, O, f, 0.385
10, 104, O, f, 0.383
10, 105, O, f, 0.385
10, 106, O, f, 0.385
10, 107, O, f, 0.385
10, 108, O, f, 0.384
10, 109, O, f, 0.387
10, 110, O, f, 0.383
10, 111, O, f, 0.393
10, 112, O, f, 0.384
10, 113, O, f, 0.384
10, 114, O, f, 0.385
10, 115, O, f, 0.386
10, 116, O, f, 0.384
10, 117, O, f, 0.384
10, 118, O, f, 0.384
10, 119, O, f, 0.384
10, 120, O, f, 0.387
10, 121, O, f, 0.382
10, 122, O, f, 0.385
10, 123, O, f, 0.384
10, 124, O, f, 0.384
10, 125, O, f, 0.387
10, 126, O, f, 0.386
10, 127, Q, NIL, NIL
10, 128, O, f, 0.386
10, 129, O, f, 0.383
10, 130, O, f, 0.385
10, 131, Q, NIL, NIL
10, 132, O, f, 0.385
10, 133, O, f, 0.386
10, 134, O, f, 0.385
10, 135, O, f, 0.388
10, 136, O, f, 0.386
10, 137, Q, NIL, NIL
10, 138, O, f, 0.384
10, 139, O, f, 0.385
10, 140, O, f, 0.386
10, 141, O, f, 0.386
10, 142, O, f, 0.384
10, 143, O, f, 0.385
10, 144, O, f, 0.383
10, 145, O, f, 0.391
10, 146, O, f, 0.384
10, 147, O, f, 0.385
10, 148, O, f, 0.384
10, 149, O, f, 0.384
10, 150, O, f, 0.384
10, 151, O, f, 0.384
10, 152, Q, NIL, NIL
10, 153, O, f, 0.392
10, 154, Q, NIL, NIL
10, 155, O, f, 0.385
10, 156, O, f, 0.385
10, 157, O, f, 0.385
10, 158, O, f, 0.386
10, 159, O, f, 0.382
10, 160, O, f, 0.385
10, 161, O, f, 0.385
10, 162, O, f, 0.386
10, 163, O, f, 0.385
10, 164, O, f, 0.389
10, 165, O, f, 0.391
10, 166, O, f, 0.384
10, 167, O, f, 0.385
10, 168, O, f, 0.384
10, 169, O, f, 0.387
10, 170, O, f, 0.386
10, 171, O, f, 0.384
10, 172, O, f, 0.387
10, 173, O, f, 0.385
10, 174, O, f, 0.387
10, 175, O, f, 0.383
10, 176, O, f, 0.386
10, 177, O, f, 0.387
10, 178, O, f, 0.385
10, 179, O, f, 0.385
10, 180, O, f, 0.386
10, 181, O, f, 0.388
10, 182, O, f, 0.387
10, 183, Q, NIL, NIL
10, 184, O, f, 0.385
10, 185, Q, NIL, NIL
10, 186, O, f, 0.385
10, 187, O, f, 0.384
10, 188, O, f, 0.382
10, 189, Q, NIL, NIL
10, 190, O, f, 0.383
10, 191, O, f, 0.383
10, 192, O, f, 0.386
10, 193, O, f, 0.386
10, 194, Q, NIL, NIL
10, 195, O, f, 0.385
10, 196, O, f, 0.386
10, 197, O, f, 0.386
10, 198, O, f, 0.385
10, 199, Q, NIL, NIL
10, 200, Q, NIL, NIL
