participant, trial, stimulus, response, rt
11, 1, O, f, 0.501
11, 2, O, f, 0.11
11, 3, O, f, 0.11
11, 4, O, f, 0.383
11, 5, O, f, 0.11
11, 6, O, f, 0.11
11, 7, O, f, 0.385
11, 8, O, f, 0.11
11, 9, O, f, 0.383
11, 10, O, f, 0.384
11, 11, O, f, 0.388
11, 12, O, f, 0.386
11, 13, O, f, 0.384
11, 14, O, f, 0.11
11, 15, O, f, 0.11
11, 16, O, f, 0.385
11, 17, O, f, 0.11
11, 18, O, f, 0.384
11, 19, Q, f, 0.11
11, 20, O, f, 0.385
11, 21, O, f, 0.11
11, 22, O, f, 0.385
11, 23, O, f, 0.389
11, 24, O, f, 0.11
11, 25, O, f, 0.11
11, 26, O, f, 0.11
11, 27, O, f, 0.383
11, 28, O, f, 0.11
11, 29, O, f, 0.391
11, 30, O, f, 0.383
11, 31, O, f, 0.11
11, 32, O, f, 0.11
11, 33, O, f, 0.11
11, 34, O, f, 0.11
11, 35, O, f, 0.384
11, 36, O, f, 0.11
11, 37, O, f, 0.384
11, 38, O, f, 0.11
11, 39, O, f, 0.383
11, 40, Q, f, 0.11
11, 41, Q, f, 0.11
11, 42, O, f, 0.11
11, 43, O, f, 0.385
11, 44, O, f, 0.11
11, 45, O, f, 0.11
11, 46, O, f, 0.11
11, 47, Q, NIL, NIL
11, 48, O, f, 0.11
11, 49, O, f, 0.11
11, 50, O, f, 0.11
11, 51, O, f, 0.391
11, 52, O, f, 0.386
11, 53, O, f, 0.11
11, 54, Q, NIL, NIL
11, 55, O, f, 0.384
11, 56, O, f, 0.11
11, 57, O, f, 0.11
11, 58, O, f, 0.11
11, 59, O, f, 0.385
11, 60, O, f, 0.385
11, 61, O, f, 0.385
11, 62, O, f, 0.388
11, 63, O, f, 0.11
11, 64, O, f, 0.384
11, 65, O, f, 0.11
11, 66, O, f, 0.386
11, 67, O, f, 0.11
11, 68, O, f, 0.382
11, 69, O, f, 0.385
11, 70, O, f, 0.11
11, 71, O, f, 0.11
11, 72, Q, f, 0.11
11, 73, O, f, 0.11
11, 74, O, f, 0.11
11, 75, O, f, 0.389
11, 76, O, f, 0.11
11, 77, O, f, 0.11
11, 78, O, f, 0.11
11, 79, O, f, 0.11
11, 80, O, f, 0.11
11, 81, O, f, 0.11
11, 82, O, f, 0.386
11, 83, Q, f, 0.11
11, 84, O, f, 0.11
11, 85, O, f, 0.11
11, 86, O, f, 0.384
11, 87, O, f, 0.386
11, 88, Q, f, 0.11
11, 89, Q, f, 0.11
11, 90, O, f, 0.11
11, 91, Q, NIL, NIL
11, 92, O, f, 0.385
11, 93, O, f, 0.385
11, 94, O, f, 0.11
11, 95, O, f, 0.11
11, 96, O, f, 0.11
11, 97, O, f, 0.388
11, 98, O, f, 0.386
11, 99, O, f, 0.11
11, 100, O, f, 0.387
11, 101, O, f, 0.11
11, 102, O, f, 0.11
11, 103, O, f, 0.11
11, 104, O, f, 0.11
11, 105, O, f, 0.11
11, 106, O, f, 0.389
11, 107, O, f, 0.11
11, 108, O, f, 0.383
11, 109, O, f, 0.384
11, 110, O, f, 0.386
11, 111, O, f, 0.11
11, 112, O, f, 0.11
11, 113, O, f, 0.386
11, 114, O, f, 0.11
11, 115, O, f, 0.387
11, 116, O, f, 0.11
11, 117, O, f, 0.384
11, 118, O, f, 0.383
11, 119, O, f, 0.384
11, 120, O, f, 0.386
11, 121, O, f, 0.11
11, 122, O, f, 0.11
11, 123, O, f, 0.11
11, 124, O, f, 0.11
11, 125, O, f, 0.11
11, 126, O, f, 0.11
11, 127, Q, f, 0.11
11, 128, O, f, 0.11
11, 129, O, f, 0.11
11, 130, O, f, 0.11
11, 131, O, f, 0.384
11, 132, O, f, 0.385
11, 133, O, f, 0.11
11, 134, O, f, 0.11
11, 135, O, f, 0.11
11, 136, O, f, 0.11
11, 137, Q, f, 0.11
11, 138, O, f, 0.11
11, 139, O, f, 0.11
11, 140, O, f, 0.385
11, 141, O, f, 0.11
11, 142, O, f, 0.384
11, 143, O, f, 0.388
11, 144, O, f, 0.11
11, 145, O, f, 0.11
11, 146, O, f, 0.11
11, 147, O, f, 0.386
11, 148, O, f, 0.386
11, 149, O, f, 0.11
11, 150, O, f, 0.387
11, 151, O, f, 0.387
11, 152, O, f, 0.385
11, 153, O, f, 0.11
11, 154, O, f, 0.11
11, 155, Q, NIL, NIL
11, 156, Q, f, 0.11
11, 157, O, f, 0.11
11, 158, O, f, 0.11
11, 159, O, f, 0.384
11, 160, Q, f, 0.11
11, 161, O, f, 0.11
11, 162, O, f, 0.387
11, 163, Q, NIL, NIL
11, 164, O, f, 0.11
11, 165, O, f, 0.11
11, 166, O, f, 0.11
11, 167, Q, f, 0.11
11, 168, O, f, 0.385
11, 169, O, f, 0.11
11, 170, O, f, 0.11
11, 171, O, f, 0.384
11, 172, O, f, 0.385
11, 173, O, f, 0.11
11, 174, O, f, 0.385
11, 175, O, f, 0.387
11, 176, Q, f, 0.11
11, 177, O, f, 0.385
11, 178, Q, NIL, NIL
11, 179, O, f, 0.11
11, 180, O, f, 0.11
11, 181, O, f, 0.11
11, 182, O, f, 0.388
11, 183, O, f, 0.388
11, 184, O, f, 0.11
11, 185, O, f, 0.385
11, 186, O, f, 0.384
11, 187, O, f, 0.385
11, 188, O, f, 0.385
11, 189, O, f, 0.386
11, 190, O, f, 0.385
11, 191, O, f, 0.11
11, 192, O, f, 0.11
11, 193, O, f, 0.383
11, 194, O, f, 0.385
11, 195, O, f, 0.11
11, 196, O, f, 0.11
11, 197, O, f, 0.384
11, 198, O, f, 0.385
11, 199, O, f, 0.387
11, 200, Q, f, 0.11
