participant, trial, stimulus, response, rt
19, 1, O, f, 0.508
19, 2, O, f, 0.384
19, 3, O, f, 0.385
19, 4, O, f, 0.386
19, 5, Q, NIL, NIL
19, 6, O, f, 0.384
19, 7, O, f, 0.384
19, 8, O, f, 0.384
19, 9, O, f, 0.388
19, 10, O, f, 0.385
19, 11, O, f, 0.385
19, 12, Q, NIL, NIL
19, 13, O, f, 0.383
19, 14, O, f, 0.388
19, 15, Q, NIL, NIL
19, 16, O, f, 0.386
19, 17, O, f, 0.384
19, 18, Q, NIL, NIL
19, 19, Q, NIL, NIL
19, 20, O, f, 0.385
19, 21, O, f, 0.385
19, 22, O, f, 0.384
19, 23, O, f, 0.384
19, 24, O, f, 0.383
19, 25, O, f, 0.384
19, 26, Q, NIL, NIL
19, 27, O, f, 0.385
19, 28, O, f, 0.395
19, 29, O, f, 0.385
19, 30, Q, NIL, NIL
19, 31, O, f, 0.383
19, 32, O, f, 0.383
19, 33, O, f, 0.385
19, 34, O, f, 0.383
19, 35, Q, NIL, NIL
19, 36, Q, NIL, NIL
19, 37, O, f, 0.384
19, 38, O, f, 0.387
19, 39, O, f, 0.386
19, 40, O, f, 0.385
19, 41, O, f, 0.383
19, 42, O, f, 0.386
19, 43, O, f, 0.384
19, 44, O, f, 0.384
19, 45, O, f, 0.385
19, 46, O, f, 0.385
19, 47, O, f, 0.384
19, 48, O, f, 0.388
19, 49, O, f, 0.385
19, 50, O, f, 0.386
19, 51, O, f, 0.386
19, 52, O, f, 0.384
19, 53, Q, NIL, NIL
19, 54, Q, NIL, NIL
19, 55, O, f, 0.383
19, 56, O, f, 0.383
19, 57, O, f, 0.383
19, 58, O, f, 0.382
19, 59, O, f, 0.385
19, 60, O, f, 0.388
19, 61, O, f, 0.387
19, 62, O, f, 0.384
19, 63, O, f, 0.389
19, 64, O, f, 0.384
19, 65, O, f, 0.386
19, 66, O, f, 0.384
19, 67, Q, NIL, NIL
19, 68, O, f, 0.383
19, 69, O, f, 0.383
19, 70, O, f, 0.383
19, 71, O, f, 0.386
19, 72, O, f, 0.387
19, 73, O, f, 0.386
19, 74, O, f, 0.385
19, 75, O, f, 0.385
19, 76, O, f, 0.384
19, 77, O, f, 0.386
19, 78, O, f, 0.384
19, 79, O, f, 0.384
19, 80, O, f, 0.384
19, 81, O, f, 0.384
19, 82, O, f, 0.386
19, 83, O, f, 0.39
19, 84, O, f, 0.385
19, 85, O, f, 0.384
19, 86, O, f, 0.386
19, 87, O, f, 0.388
19, 88, O, f, 0.386
19, 89, O, f, 0.385
19, 90, O, f, 0.386
19, 91, O, f, 0.387
19, 92, O, f, 0.387
19, 93, O, f, 0.388
19, 94, O, f, 0.385
19, 95, O, f, 0.384
19, 96, O, f, 0.387
19, 97, O, f, 0.384
19, 98, O, f, 0.391
19, 99, O, f, 0.385
19, 100, O, f, 0.384
19, 101, O, f, 0.385
19, 102, Q, NIL, NIL
19, 103, O, f, 0.389
19, 104, O, f, 0.383
19, 105, O, f, 0.384
19, 106, O, f, 0.387
19, 107, O, f, 0.384
19, 108, O, f, 0.385
19, 109, O, f, 0.389
19, 110, O, f, 0.384
19, 111, O, f, 0.389
19, 112, O, f, 0.385
19, 113, O, f, 0.385
19, 114, O, f, 0.384
19, 115, O, f, 0.386
19, 116, O, f, 0.384
19, 117, O, f, 0.384
19, 118, O, f, 0.383
19, 119, O, f, 0.385
19, 120, O, f, 0.386
19, 121, O, f, 0.387
19, 122, O, f, 0.386
19, 123, O, f, 0.387
19, 124, O, f, 0.389
19, 125, O, f, 0.387
19, 126, O, f, 0.383
19, 127, O, f, 0.387
19, 128, O, f, 0.387
19, 129, O, f, 0.385
19, 130, O, f, 0.384
19, 131, O, f, 0.385
19, 132, O, f, 0.387
